日期,口岸,中心,站点,zipcode,票数,领件票数,Final妥投量,Final妥投率,客退数,客退率,丢失被抢数,丢失被抢率,被抢数,库内丢失数,站点丢失数,库内待签收数,站点待签收数,异常中,断更中
25/02/10,ATL,ATL,ATL-GFI,30017,13,13,13,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-GFI,30019,28,28,28,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-GFI,30039,26,26,26,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-GFI,30044,61,61,61,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-GFI,30045,25,25,25,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-GFI,30046,31,31,31,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-GFI,30047,38,38,38,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-GFI,30078,23,23,23,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-HAP,30004,25,25,25,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-HAP,30005,10,10,10,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-HAP,30009,6,6,6,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-HAP,30022,25,25,24,96.00%,0,0,0,0.00%,0,0,0,0,1,1,1
25/02/10,ATL,ATL,ATL-HAP,30040,27,27,27,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-HAP,30041,34,34,33,97.06%,0,0,0,0.00%,0,0,0,0,1,1,1
25/02/10,ATL,ATL,ATL-JNJ,30002,1,1,1,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-JNJ,30012,23,23,23,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-JNJ,30013,21,21,21,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-JNJ,30014,27,27,27,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-JNJ,30016,48,48,48,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-JNJ,30032,29,29,29,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-JNJ,30034,35,35,35,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-JNJ,30035,25,25,25,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-JNJ,30038,1,1,1,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-JNJ,30052,45,45,45,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-JNJ,30054,6,6,6,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-JNJ,30058,53,53,53,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-JNJ,30075,18,18,17,94.44%,0,0,0,0.00%,0,0,0,0,1,1,1
25/02/10,ATL,ATL,ATL-JNJ,30076,20,20,18,90.00%,0,0,0,0.00%,0,0,0,0,2,2,2
25/02/10,ATL,ATL,ATL-JNJ,30079,2,2,2,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-JNJ,30083,27,27,27,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-JNJ,30087,22,22,22,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-JNJ,30088,18,18,18,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-JNJ,30114,51,51,50,98.04%,0,0,0,0.00%,0,0,0,0,1,0,0
25/02/10,ATL,ATL,ATL-JNJ,30115,29,29,29,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-JNJ,30188,23,23,23,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-JNJ,30228,36,36,36,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-JNJ,30236,33,33,33,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-JNJ,30238,33,33,33,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-JNJ,30252,32,32,32,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-JNJ,30253,38,38,38,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-JNJ,30260,24,24,24,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-JNJ,30273,23,23,23,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-JNJ,30281,52,52,52,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-JNJ,30288,5,5,5,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-JNJ,30294,22,22,22,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-JNJ,30316,20,20,20,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-JNJ,30317,3,3,3,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-OID,30122,19,19,19,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-OID,30126,26,26,26,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-OID,30135,61,61,61,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-OID,30168,16,16,16,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-OID,30213,39,39,39,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-OID,30214,15,15,15,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-OID,30215,21,21,21,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-OID,30263,67,67,67,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-OID,30265,26,26,26,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-OID,30268,6,6,6,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-OID,30269,12,12,12,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-OID,30274,27,27,27,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-OID,30277,13,13,13,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-OID,30290,5,5,5,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-OID,30291,17,17,17,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-OID,30296,15,15,15,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-OID,30297,24,24,24,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-OID,30308,11,11,11,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-OID,30309,11,11,11,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-OID,30310,21,21,21,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-OID,30311,17,17,17,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-OID,30312,20,20,20,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-OID,30314,20,20,20,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-OID,30315,26,26,26,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-OID,30318,32,32,32,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-OID,30331,37,37,37,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-OID,30336,2,2,2,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-OID,30337,7,7,7,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-OID,30344,16,16,16,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-OID,30349,55,55,55,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-OID,30354,20,20,20,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-PFC,30021,11,11,11,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-PFC,30030,6,6,6,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-PFC,30033,7,7,7,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-PFC,30060,32,32,30,93.75%,0,0,0,0.00%,0,0,0,0,2,2,2
25/02/10,ATL,ATL,ATL-PFC,30062,34,34,34,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-PFC,30066,13,13,13,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-PFC,30067,14,14,14,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-PFC,30068,10,10,10,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-PFC,30071,8,8,8,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-PFC,30080,26,26,26,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
25/02/10,ATL,ATL,ATL-PFC,30082,5,5,5,100.00%,0,0,0,0.00%,0,0,0,0,0,0,0
